Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"J.A. Happ","- - -",152.1,5.022652762276786,,,,,8.267111780275503,-0.7762239612361633,-2.177647310144761,,,8.269212805706522,,,"J.A. Happ",7410,457918
"Jay Jackson","SFG",21.2,-5.0678030367250795,,,,,,3.2122023360060137,,,,-5.590808232625325,,,"Jay Jackson",7432,543351
"Wade Davis","KCR",42.2,-2.2334415558845766,,2.290014251460874,,,-6.590231323242188,,,3.1309650749560225,,-5.599076588948567,,,"Wade Davis",7441,451584
"Collin McHugh","TBR",64,-5.552088710239955,,0.9357639454906772,,,,9.977700675044078,7.324482781546457,7.194333076477051,,-6.148785591125488,,,"Collin McHugh",7531,543521
"Jake McGee","SFG",59.2,7.170632382861884,,,,,,-0.6340158396753771,,,,,,,"Jake McGee",7550,459429
"Jordan Lyles","TEX",180,-4.299485036771592,,2.845747407660427,,,-7.74485254999417,5.356476622742492,3.6775346210011763,,,-7.952910378714588,,,"Jordan Lyles",7593,543475
"Wily Peralta","DET",93.2,-4.456248548841968,,,-6.0357533482142856,,-6.875180502690232,0.32019068356549707,,,,,,,"Wily Peralta",7738,503449
"Richard Bleier","MIA",58,6.876928117540148,,0.4255124937813237,,,9.636350224933354,-2.934112548828125,,,,10.341528998480904,,,"Richard Bleier",7803,542947
"Hunter Strickland","- - -",58.2,-2.8723614125792123,,,,,-8.489493102358098,4.774957275390625,,,,-8.618284316289992,,,"Hunter Strickland",7836,519326
"Anthony Bass","MIA",61.1,-3.8437580768376183,,,-4.383749008178711,,-7.938868826194515,2.1248521326976926,,,,,,,"Anthony Bass",7982,542914
"Will Smith","ATL",68,4.463017482383578,,,,,,-2.6444970374684695,-4.550980234533791,,,,,,"Will Smith",8048,519293
"Bryan Shaw","CLE",77.1,-6.844068254743304,,1.7766859902673546,,,-6.849934895833333,7.159676216744088,2.9536036956004605,,,-5.888234105603448,,,"Bryan Shaw",8110,543766
"Brett Anderson","MIL",96,4.504007975260417,,0.06397595056673376,,,8.624235482828656,-1.7140696389334542,,-3.0189475432265227,,8.157299110747738,,,"Brett Anderson",8223,474463
"Paolo Espino","WSN",109.2,-2.3419674685792793,,-1.5330159664154053,,,-8.956914901733398,9.76004424513432,7.0370715361026575,,,-7.226090122276629,,,"Paolo Espino",8246,502179
"Lucas Luetge","NYY",72.1,1.2306402921676636,,-2.522240165573159,,,,-4.84498762473082,-6.954403831845238,,,,,,"Lucas Luetge",8337,476595
"Deolis Guerra","OAK",65.2,-7.399984322342218,,,,,-9.762192127316498,1.0330591573343648,4.922204111136642,,,-7.825795491536458,,,"Deolis Guerra",8410,500610
"Wade Miley","CIN",163,2.1284574023901426,,-1.6428310716923196,,,8.235389463363155,-5.811849400617074,-5.174384901258681,0.6004562377929688,,8.89848598182624,,,"Wade Miley",8779,489119
"César Valdez","BAL",46,-9.146119088837594,,,,,-10.508578670726102,3.5473480224609375,,,,-6.002505563133818,,,"Cesar Valdez",9013,491624
"Brad Hand","- - -",64.2,7.729599448829011,,,,,10.757120423397776,-8.81830806815468,,,,,,,"Brad Hand",9111,543272
"Nathan Eovaldi","BOS",182.1,-7.663756189369442,,-0.37495625537374744,-6.88259073344845,,,2.6649922992459576,4.9929648366347905,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","WSN",171.2,5.336053129021879,,,,,8.585369628274579,-1.217612023164284,-1.4524163466233473,,,6.470936742322198,,,"Patrick Corbin",9323,571578
"Josh Tomlin","ATL",49.1,-3.7499486902257897,,1.5734182442892881,,,,,1.9587212427491283,,,-8.149177551269531,,,"Josh Tomlin",9388,458708
"Dallas Keuchel","CHW",162,3.3602263639713157,,-0.4239232690937548,,,8.685398984393908,-3.3598322172959647,,,,8.633814637642594,,,"Dallas Keuchel",9434,572971
"David Hale","PHI",26.2,-5.834673422354239,,,,,-9.668930912017823,,2.195550262287099,,,-7.599207809993199,,,"David Hale",9756,571735
"Joe Kelly","LAD",44,-6.8875516024502845,,,,,-9.480940408909575,,,4.363012059115432,,-10.498734714673914,,,"Joe Kelly",9761,523260
"Garrett Richards","BOS",136.2,0.07818006311805503,,,,,-4.825006925142729,1.0089601857535144,5.727859659397856,5.041347980499268,,-9.43472900390625,,,"Garrett Richards",9784,572070
"Rex Brothers","CHC",53,5.411067956822519,,,,,-9.765695571899414,0.16672768703726834,,,,,,,"Rex Brothers",9794,571521
"Miles Mikolas","STL",44.2,-2.9714235346368016,,,,,-7.96624454451196,1.423869374034169,4.85863623046875,4.261046886444092,,-7.569662655101103,,,"Miles Mikolas",9803,571945
"Sergio Romo","OAK",61.2,-8.580455961681547,,,,,-11.48738308127867,6.794984485934811,,,,-12.343409488075658,,,"Sergio Romo",9817,489265
"Brandon Kintzler","PHI",29.2,-6.229607264200847,,,,,-9.542238757484837,-0.07404861483775393,4.6680097579956055,,,-10.154219661440168,,,"Brandon Kintzler",9939,445213
"Mike Minor","KCR",158.2,1.3877378142739871,,,,,9.110137939453125,-2.6486999618237346,,-3.778437036667427,,9.77414279513889,,,"Mike Minor",10021,501985
"Tyler Matzek","ATL",63,3.349133414259628,,,,,,-2.999587052351945,-4.241125318739149,,,,,,"Tyler Matzek",10058,554431
"Brooks Raley","HOU",49,4.679056636622695,,-1.5822454180036272,,,9.953593712726622,-8.545476113596271,-8.198295593261719,,,9.566677209102746,,,"Brooks Raley",10061,548384
"Caleb Thielbar","MIN",64,1.7253208512309732,,,,,,-7.918092747738487,-5.598281521267361,-6.1421003341674805,,2.2672249476114907,,,"Caleb Thielbar",10078,573204
"Kyle Gibson","- - -",182,-3.8879771797453406,,0.11791588369488992,,,-9.091871596355828,2.3898118473429535,3.4658545553684235,,,-8.782567447810978,,,"Kyle Gibson",10123,502043
"Stephen Strasburg","WSN",21.2,-4.875116418909143,,,,,-9.351535840966235,,8.17347087335149,,,-9.022343076508621,,,"Stephen Strasburg",10131,544931
"Brad Boxberger","MIL",64.2,-3.973640936980033,,,,,,3.0351386070251465,,,,-7.418846868699597,,,"Brad Boxberger",10133,502202
"Aroldis Chapman","NYY",56.1,2.560388269558759,,,1.5663437027115006,,7.560446220531798,-7.075923179512594,,,,,,,"Aroldis Chapman",10233,547973
"Ryan Tepera","- - -",61.1,-5.180339825266167,,,,,-9.172689699659161,1.502989865019394,2.5072479248046875,,,-6.8969487860651295,,,"Ryan Tepera",10291,572193
"Zack Wheeler","PHI",213.1,-4.897466326917771,,0.6968885176488374,-8.722469329833984,,-9.319864214483788,,5.075399959788603,,,-8.232562887257544,,,"Zack Wheeler",10310,554430
"Erasmo Ramírez","DET",26.2,-5.395326467660757,,0.7548787607311529,,,-9.044380589535361,3.0184752146402993,3.003751754760742,,,-7.907527446746826,,,"Erasmo Ramirez",10314,541640
"Juan Minaya","MIN",40,-6.819902718242994,,,,,,1.5120353698730469,,,,-7.544369259396115,,,"Juan Minaya",10341,573668
"Aaron Loup","NYM",56.2,,,0.6650352826083663,,,12.43125449286567,,-9.43614123951305,,,10.912595907847086,,,"Aaron Loup",10343,571901
"Mychal Givens","- - -",51,-5.7107594807942705,,,,,,2.4981445535256044,,,,-5.74801989299495,,,"Mychal Givens",10430,571710
"Jimmy Nelson","LAD",29,-1.9007676295462372,,,,,,7.342977142333984,,5.776891665988498,,,,,"Jimmy Nelson",10547,519076
"Chris Sale","BOS",42.2,8.438378208705357,,,,,11.329327392578126,-5.343433248585668,,,,11.341071234809029,,,"Chris Sale",10603,519242
"Drew Hutchison","DET",21.1,-2.6959516197253186,,,,,-6.536247426813299,2.0004545479766596,,,,-8.343144734700521,,,"Drew Hutchison",10732,571800
"Shane Greene","- - -",23.2,-5.10711898803711,,2.3318477547081717,,,-9.820690956844645,7.423391862349077,,,,-8.013594756255278,,,"Shane Greene",10756,572888
"Mike Foltynewicz","TEX",139,-6.6245382880874235,,,,,-9.801206992147394,2.314003645698979,5.258753075821852,,,-8.506123141770649,,,"Mike Foltynewicz",10811,592314
"Chasen Shreve","PIT",56.1,5.9181226365109705,,,6.262717249773551,,-7.395366191864014,-2.1314645927643108,,,,,,,"Chasen Shreve",10855,592741
"Jacob deGrom","NYM",92,-5.689676458185369,,,,,,2.1115465980287285,3.796513319015503,,,-8.447291942911411,,,"Jacob deGrom",10954,594798
