Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Taylor Rogers","MIN",7.922160936519306,3.3952118299368457,2.33333333,0.9700605228390988,0.20675105,0.08860759,0.11814346,0.24413145539906103,1.3113781142084113,0.2911392405063291,0.82840237,69.55091325772509,92.51922688294755,96.87790033205012,3.0718583223238127,4.091772049540407,-1.0199137272165943,4.256350158255479,4.143881154657963,"Taylor Rogers",13449,573124
"Kyle Barraclough","MIA",10.363637561640601,5.181818780820301,2,0.6818182606342501,0.26573427,0.13286713,0.13286713,0.21544715447154472,1.3787880381714837,0.2909090909090909,0.79069767,72.5284842770293,87.11809705015993,96.74328441809686,3.0000003467907006,3.6576397520123174,-0.6576394052216168,4.182081520854121,4.141679145847165,"Kyle Barraclough",13713,607457
"Mark Leiter Jr.","PHI",8.338236931286378,3.0772064865461632,2.70967742,1.7867650567042237,0.21265823,0.07848101,0.13417722,0.25210084033613445,1.3345590855630314,0.2823529411764706,0.67120623,114.05596564440721,116.07356725611241,96.93594865689079,4.963236268622844,5.142934201663005,-0.17969793304016068,4.190444192748918,4.141088204301847,"Mark Leiter Jr.",15551,643410
"Mike Morin","- - -",7.200001373291277,2.2500004291535243,3.2,1.3500002574921146,0.17204301,0.05376344,0.11827957,0.3333333333333333,1.7000003242493293,0.38235294117647056,0.61688312,166.34296250156248,100.69995831135702,104.55311267296628,7.200001373291277,4.407639932632492,2.7923614406587856,4.592207526601378,4.139982974092032,"Mike Morin",13442,573046
"Carlos Estévez","COL",8.628866318726935,3.896907369747648,2.21428571,0.835051579231639,0.20805369,0.09395973,0.11409396,0.291044776119403,1.6391753221954393,0.36,0.6626506,111.72430504588029,83.92589789775906,95.24992168860825,5.567010528210926,3.838052092106314,1.7289584361046124,4.117261486763681,4.139649814744434,"Carlos Estevez",14542,608032
"Michael Wacha","STL",8.58350074250739,2.987927473657636,2.87272727,0.923541219130542,0.2253923,0.07845934,0.14693295,0.2643856920684292,1.3581488516625617,0.3269230769230769,0.71498531,98.6188063333449,86.0379527062889,89.75781355023835,4.128772509054188,3.634500846575389,0.49427166247879883,3.87887423514168,4.137279554452941,"Michael Wacha",14078,608379
"Eduardo Paredes","LAA",6.850747243788312,2.4179107919252867,2.83333333,0.8059702639750956,0.18478261,0.06521739,0.11956522,0.25301204819277107,1.2089553959626433,0.296875,0.69852941,103.78990115539001,91.24878958370809,104.6503844642436,4.432836451863026,4.008386083965357,0.424450367897669,4.596464014419771,4.136621435359993,"Eduardo Paredes",16344,622161
"Tyler Anderson","COL",8.476743434041628,2.720929991173856,3.11538462,1.6744184561069881,0.22375691,0.0718232,0.1519337,0.2634730538922156,1.3255812777513656,0.3037974683544304,0.72649573,96.61119869858105,102.02128635854241,91.32120746890214,4.813953061307592,4.669267467088232,0.1446855942193599,3.9467340022990376,4.135347196810235,"Tyler Anderson",12880,542881
"Max Fried","ATL",7.615384615384615,4.153846153846154,1.83333333,1.0384615384615385,0.18181818,0.09917355,0.08264463,0.2857142857142857,1.6153846153846154,0.3375,0.74162679,85.94510844528007,112.38337857547006,98.75278246691745,3.8076923076923075,4.8114858480600216,-1.003793540367714,4.269304624429116,4.128718788808737,"Max Fried",13743,608331
"Tony Watson","- - -",7.155002115297943,2.7000007982256387,2.65,1.2150003592015375,0.18213058,0.06872852,0.11340206,0.2706766917293233,1.3800004079819932,0.3088235294117647,0.84123223,79.74504527466713,103.48053270248434,99.31172362171853,3.3750009977820485,4.447640075588339,-1.0726390778062904,4.293565699111998,4.1250374735407815,"Tony Watson",3132,453265
"Patrick Corbin","ARI",8.446396356348354,2.8945515603216267,2.91803279,1.2337432880059391,0.21549637,0.07384988,0.14164649,0.27296587926509186,1.41827754048546,0.32616487455197135,0.74278438,88.38312759457513,93.11268529322518,89.95251674531816,4.033391518480955,4.075038549397771,-0.041647030916815986,3.8873254087871567,4.124574027288206,"Patrick Corbin",9323,571578
"Matt Belisle","MIN",8.055250825792612,3.281768854952546,2.45454545,1.0441991811212645,0.21862348,0.08906883,0.12955466,0.21524663677130046,1.1602213123569607,0.25308641975308643,0.65916399,91.19073744099303,92.007664791385,101.25452315063002,4.027625412896306,4.069242153922908,-0.04161674102660218,4.447865514026782,4.120370326323501,"Matt Belisle",1837,279571
"Ryan Buchter","- - -",8.954083898176284,3.5816335592705135,2.5,1.3775513689501975,0.24253731,0.09701493,0.14552239,0.18487394957983194,1.0714288425168204,0.2085889570552147,0.81666667,67.24075758236805,105.56813941765947,115.34104094394132,2.892857874795415,4.535191063164065,-1.6423331883686503,5.023018327505924,4.11669187521751,"Ryan Buchter",9456,488748
"J.A. Happ","TOR",8.793577366149806,2.848623653823177,3.08695652,1.114678821061243,0.22683706,0.07348243,0.15335463,0.25,1.3142200914981323,0.30238095238095236,0.76598311,80.8806061029831,84.50409030863764,89.64889986049124,3.5298162666939366,3.763144238987876,-0.23332797229393964,3.9400184443814603,4.10583665199886,"J.A. Happ",7410,457918
"Dustin McGowan","MIA",7.416311441286092,3.1287563892925703,2.37037037,1.5064382615112375,0.19393939,0.08181818,0.11212121,0.2558139534883721,1.3390562324544333,0.2857142857142857,0.72892938,114.86273119242072,114.33568887823998,97.91543087468574,4.751074517073903,4.805708903388554,-0.05463438631465145,4.232959028223744,4.105679703011303,"Dustin McGowan",8600,430661
"Peter Moylan","KCR",6.977532276858721,3.7921371069884353,1.84,0.6067419371181496,0.18930041,0.10288066,0.08641975,0.18779342723004694,1.0955062753522147,0.22085889570552147,0.68322981,78.21693407420236,92.80613617086911,97.0337054160042,3.4887661384293605,4.000336829100187,-0.5115706906708262,4.263167987280582,4.099811048108432,"Peter Moylan",4891,493247
"Fernando Abad","BOS",7.625956641205156,2.885497107483032,2.64285714,0.824427744995152,0.2032967,0.07692308,0.12637363,0.23952095808383234,1.236641617492728,0.2857142857142857,0.74898785,72.08494252032821,84.76890117841278,99.41510517159688,3.297710979980608,3.6843574201829923,-0.38664644020238415,4.36737496154619,4.091501748366349,"Fernando Abad",4994,472551
"J.J. Hoover","ARI",11.758071388840103,5.661293631663753,2.07692308,1.5241944392940874,0.27411168,0.1319797,0.14213198,0.27647058823529413,1.7661300645788631,0.3669724770642202,0.8411215,85.88430845061829,107.47023347050629,103.70030549010933,3.919357129613368,4.706027696036433,-0.7866705664230649,4.484053931274584,4.086135841693323,"J.J. Hoover",9037,543331
"Sonny Gray","- - -",8.482545669678132,3.160164073017343,2.68421053,1.0533880243391143,0.22566372,0.0840708,0.14159292,0.22491909385113268,1.2073921214647159,0.26905829596412556,0.69605568,82.86203982324052,88.967352662573,85.58378040899005,3.5482543977738588,3.9030195243017785,-0.3547651265279197,3.7621340731941553,4.084056704670327,"Sonny Gray",12768,543243
"Josh Smoker","NYM",10.863907777663863,5.112427189488877,2.125,1.597633496715274,0.25468165,0.11985019,0.13483146,0.27586206896551724,1.7041423964962923,0.35064935064935066,0.76470588,125.06399059819482,115.82826101770615,101.20225326027592,5.112427189488877,4.915036540600669,0.19739064888820845,4.375624929063614,4.081620854299818,"Josh Smoker",10285,519294
"Kyle Hendricks","CHC",7.926014031166167,2.577565538590623,3.075,1.0954653539010148,0.21578947,0.07017544,0.14561404,0.23863636363636365,1.188544109461232,0.2809278350515464,0.82524272,70.05378718098805,89.69853965538664,87.09055371272972,3.0286395078439825,3.8807900258740142,-0.8521505180300317,3.7631007059237813,4.080099148568978,"Kyle Hendricks",12049,543294
"Sammy Solís","WSN",9.6923084033312,4.5000003301180564,2.15384615,1.3846154861901714,0.25,0.11607143,0.13392857,0.2222222222222222,1.346153944907111,0.26865671641791045,0.6122449,132.7770174980067,102.11033194657999,100.63528774755653,5.884615816308228,4.503793639120978,1.38082217718725,4.351015553767928,4.076710808266167,"Sammy Solis",11457,519301
"Neil Ramírez","- - -",12.638301847207874,6.031916790712849,2.0952381,1.7234047973465283,0.2875817,0.1372549,0.1503268,0.26717557251908397,1.7872346046556589,0.35802469135802467,0.55555556,174.600929785828,117.64986232496344,113.20571884201158,7.180853322277201,4.944874298869526,2.2359790234076753,4.896640374840788,4.068672693081361,"Neil Ramirez",7677,519166
"Jon Lester","CHC",8.966789415456923,2.988929805152307,3,1.2952029155659999,0.23591088,0.07863696,0.15727392,0.25608011444921314,1.3228781915396324,0.3103448275862069,0.68731849,100.24616178115487,94.71077643273094,89.14571736246305,4.333948217470845,4.098599077317371,0.23534914015347397,3.8523059440126985,4.065141108120995,"Jon Lester",4930,452657
"Clayton Richard","SDP",6.886823969308804,2.6908782396637045,2.55932203,1.0945945381682867,0.17599068,0.06876457,0.10722611,0.3034134007585335,1.5152026245940633,0.35064935064935066,0.70592538,113.73916511265057,98.6177791966025,87.10156732218319,4.788851104486254,4.22689639585048,0.5619547086357732,3.7635787562501593,4.058822179507382,"Clayton Richard",3551,453385
"Santiago Casilla","OAK",8.694915816414772,3.355932420370614,2.59090909,1.2203390619529506,0.22007722,0.08494208,0.13513514,0.2510822510822511,1.355932291058834,0.30120481927710846,0.76203209,101.09833385247948,102.93227836508574,105.62281523923774,4.271186716835327,4.4118770634432884,-0.1406903466079612,4.639016327825749,4.056983595416275,"Santiago Casilla",2873,433586
"Eduardo Rodriguez","BOS",9.830096359245792,3.276698786415264,3,1.2451455388378003,0.25773196,0.08591065,0.17182131,0.23908918406072105,1.2815533031313033,0.2988826815642458,0.74481865,91.68081306688676,91.44490414060436,96.96080741467965,4.194174446611538,3.973173614388333,0.2210008322232051,4.259978064996345,4.052130021482966,"Eduardo Rodriguez",13164,593958
"Alex Colomé","TBR",7.830001194763366,3.1050004737854726,2.52173913,0.5400000823974735,0.20640569,0.08185053,0.12455516,0.2235294117647059,1.2000001831054967,0.27461139896373055,0.72351421,76.76075831068668,79.28992320003422,98.37762140582768,3.2400004943848413,3.3676397262573294,-0.12763923187248816,4.321976013374387,4.051619257321253,"Alex Colome",6661,517008
"Andrew Heaney","LAA",11.215387906408429,3.7384626354694763,3,4.984616847292635,0.26732673,0.08910891,0.17821782,0.29347826086956524,1.661538949097545,0.2830188679245283,0.98958333,165.33806332642754,207.9158615570873,99.57676011654038,7.061540533664567,9.111487595146738,-2.049947061482171,4.374448772924593,4.051253826954213,"Andrew Heaney",15423,571760
"Brad Ziegler","MIA",4.978723808347321,3.0638300359060437,1.625,0.19148937724412773,0.12322275,0.07582938,0.04739337,0.30158730158730157,1.5531916154245917,0.345679012345679,0.6443299,115.73693901007573,88.8835322054617,101.80265686869264,4.787234431103194,3.73210782594625,1.0551266051569437,4.401685698893405,4.05122209129731,"Brad Ziegler",7293,446899
"Justin Grimm","CHC",9.596385762694618,4.391566365978893,2.18518519,1.951807273768397,0.25431034,0.11637931,0.13793103,0.23039215686274508,1.3373494283227905,0.2631578947368421,0.70446735,127.91416450371798,123.79480785437389,98.9790390307418,5.530120609010457,5.362459021989279,0.16766158702117817,4.279125385246752,4.050117063360925,"Justin Grimm",11720,518748
"Justin Verlander","- - -",9.567961165048544,3.145631067961165,3.04166667,1.1796116504854368,0.25795053,0.08480565,0.17314488,0.21992238033635186,1.174757281553398,0.2713472485768501,0.79731028,76.20442102766273,86.5749668746625,94.84614099047,3.3640776699029127,3.842105713631343,-0.47802804372843033,4.167442996438267,4.049665665386521,"Justin Verlander",8700,434378
"David Price","BOS",9.160713895699216,2.8928570196944894,3.16666667,0.9642856732314964,0.23974763,0.07570978,0.16403786,0.22491349480968859,1.1919642349667108,0.2780487804878049,0.77017115,73.7744065884361,83.7385500439091,95.60011337539831,3.3749998563102372,3.6397825308296157,-0.2647826745193784,4.200435853151502,4.046160049039552,"David Price",3184,456034
"Fernando Salas","- - -",8.59091407184062,3.3750019567945295,2.54545455,1.0738642589800775,0.21292776,0.08365019,0.12927757,0.27800829875518673,1.5170463341147127,0.33707865168539325,0.63131313,126.9518951271032,92.05532975602998,100.12765274676487,5.215912115046091,3.924685593485351,1.2912265215607404,4.344385997615643,4.045348221903442,"Fernando Salas",4971,477569
"Joe Musgrove","HOU",8.067073405285388,2.304878115795825,3.5,1.481707360154459,0.21212121,0.06060606,0.15151515,0.27209302325581397,1.3262195507555343,0.31528662420382164,0.726979,112.90334904321669,101.11785895977656,91.76595984759231,4.774390382719924,4.3832494859465685,0.3911408967733552,4.032658252156903,4.041809165566876,"Joe Musgrove",12970,605397
"Dinelson Lamet","SDP",10.941689988589275,4.250728484775689,2.57407407,1.4169094949252297,0.28659794,0.11134021,0.17525773,0.20705882352941177,1.2419823967863124,0.26119402985074625,0.69218241,108.43670212855292,101.4119720703041,97.12342311214364,4.56559726142574,4.347143961558505,0.21845329986723527,4.198581599917729,4.031854305163917,"Dinelson Lamet",17186,659275
