Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Sonny Gray","- - -",0.26905829596412556,1.92063492,0.19650655,0.528384279,0.27510917,0.055555555,0.15079365,85,4.712525372043406,1014,1650,2664,0.43870968,0.35053763,0.21075269,0.16774194,0.55268817,0.27956989,"Sonny Gray",12768,543243
"Josh A. Smith","OAK",0.2962962962962963,1.275,0.18018018,0.459459459,0.36036036,0.05,0.075,25,6.4285721292301865,218,368,586,0.45945946,0.28828829,0.25225225,0.13513514,0.58558559,0.27927928,"Josh A. Smith",10946,595001
"Roberto Osuna","TOR",0.2847682119205298,1.403846153,0.177631578,0.480263157,0.342105263,0.115384615,0.057692307,7,0.9843752346933448,318,643,961,0.37662338,0.42207792,0.2012987,0.11688312,0.6038961,0.27922078,"Roberto Osuna",13764,532077
"Ervin Santana","MIN",0.24455611390284757,0.969581749,0.163166397,0.411954765,0.424878836,0.121673003,0.117870722,121,5.152996597386473,1185,2050,3235,0.46411483,0.32376396,0.21212121,0.22328549,0.49760766,0.27910686,"Ervin Santana",3200,429722
"Jeremy Jeffress","- - -",0.3181818181818182,2.5,0.172413793,0.591133004,0.236453201,0.083333333,0.208333333,46,6.3367368521572605,434,710,1144,0.40384615,0.42307692,0.17307692,0.26442308,0.45673077,0.27884615,"Jeremy Jeffress",9490,502026
"José Berríos","MIN",0.2892768079800499,0.975609756,0.209756097,0.390243902,0.4,0.091463414,0.091463414,94,5.807780654654546,885,1503,2388,0.36538462,0.36778846,0.26682692,0.20432692,0.51682692,0.27884615,"Jose Berrios",14168,621244
"Tanner Roark","WSN",0.29980657640232106,1.505882352,0.197740112,0.482109227,0.320150659,0.058823529,0.135294117,107,5.310661466785797,1196,2020,3216,0.42037037,0.33333333,0.2462963,0.16666667,0.55555556,0.27777778,"Tanner Roark",8753,543699
"Brad Hand","SDP",0.2631578947368421,1.366666666,0.197740112,0.463276836,0.33898305,0.083333333,0.15,16,1.8151266904684626,427,774,1201,0.37777778,0.34444444,0.27777778,0.18888889,0.53333333,0.27777778,"Brad Hand",9111,543272
"Reynaldo López","CHW",0.2709677419354839,0.628205128,0.216049382,0.302469135,0.481481481,0.153846153,0.089743589,40,7.55244855980087,275,492,767,0.35802469,0.2962963,0.34567901,0.17901235,0.54320988,0.27777778,"Reynaldo Lopez",16400,625643
"Adam Morgan","PHI",0.2971014492753623,1.34,0.204081632,0.455782312,0.340136054,0.14,0.2,25,4.115855286052515,295,611,906,0.33108108,0.39189189,0.27702703,0.20945946,0.51351351,0.27702703,"Adam Morgan",12580,605388
"Blaine Boyer","BOS",0.3700787401574803,0.934782608,0.293650793,0.341269841,0.365079365,0.108695652,0.065217391,20,4.354839647473906,237,454,691,0.35384615,0.33076923,0.31538462,0.2,0.52307692,0.27692308,"Blaine Boyer",2237,430641
"Alex Wood","LAD",0.26732673267326734,1.972972972,0.200968523,0.530266343,0.268765133,0.09009009,0.135135135,112,6.617067308971484,736,1524,2260,0.38424821,0.36515513,0.25059666,0.20286396,0.5202864,0.27684964,"Alex Wood",13781,622072
