Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Arnold Leon","OAK",26.2,0.27040816,0.68348624,0.48792271,0.67924528,0.84563758,0.8019802,0.52657005,23.58131488,"Arnold Leon",5595,504186
"Matt Shoemaker","LAA",135.1,0.27172827,0.63881151,0.46198268,0.61397059,0.87790698,0.803125,0.51828681,23.57830508,"Matt Shoemaker",4776,533167
"Ryan Pressly","MIN",27.2,0.32596685,0.59832636,0.48095238,0.54237288,0.91608392,0.80693069,0.56904762,23.56953642,"Ryan Pressly",7005,519151
"Eric O'Flaherty","- - -",30,0.27372263,0.67206478,0.46257198,0.46666667,0.92168675,0.78008299,0.47408829,23.56557377,"Eric O'Flaherty",5746,447714
"Brian Matusz","BAL",49,0.2628866,0.66896552,0.47752126,0.50980392,0.80756014,0.7302799,0.52855407,23.55973813,"Brian Matusz",2646,451085
"Aaron Thompson","MIN",32.1,0.31889764,0.6302521,0.4695122,0.5308642,0.88666667,0.76190476,0.48373984,23.52957746,"Aaron Thompson",999,457744
"Felix Doubront","- - -",75.1,0.25680272,0.62130178,0.45174051,0.59602649,0.85238095,0.78458844,0.53481013,23.51336303,"Felix Doubront",1478,467094
"Liam Hendriks","TOR",64.2,0.36054422,0.6417657,0.52135922,0.6163522,0.85185185,0.78212291,0.57184466,23.51216216,"Liam Hendriks",3548,521230
"David Rollins","SEA",25,0.29953917,0.70815451,0.51111111,0.63076923,0.83030303,0.77391304,0.51777778,23.4845679,"David Rollins",11928,543716
"Danny Duffy","KCR",136.2,0.25478927,0.64840183,0.47413062,0.69924812,0.86267606,0.82379249,0.55725191,23.47783535,"Danny Duffy",3542,518633
"Felipe Vázquez","WSN",48.1,0.28196721,0.65625,0.50464807,0.52325581,0.84013605,0.76842105,0.59495352,23.45238095,"Felipe Vazquez",12076,553878
"Jake Arrieta","CHC",229,0.31464738,0.61425339,0.46921506,0.57088123,0.85359116,0.76181592,0.51590312,23.44622793,"Jake Arrieta",4153,453562
