Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"C.J. Wilson","LAA",132,-5.142261981964111,,-2.2741289138793945,,,7.334772109985352,2.163844585418701,-1.8965102434158325,,,6.336660385131836,,,"C.J. Wilson",3580,450351
"Jim Johnson","- - -",66.2,-2.1258084774017334,,,,,1.7745990753173828,,2.30321204662323,,,-0.3469357453286648,,,"Jim Johnson",3656,462382
"Cesar Jimenez","- - -",23,0.37386228144168854,,,,,,1.113390177488327,,,,3.963562846183777,,,"Cesar Jimenez",3762,462945
"Mat Latos","- - -",116.1,-8.363718807697296,,1.984669268131256,-0.6626292914152145,,6.613586641848087,-2.4733412712812424,1.2205799333751202,,,-1.0510940738022327,,,"Mat Latos",3815,502009
"Ricky Nolasco","MIN",37.1,-2.55428783595562,,,-0.46092483401298523,,-6.5481566190719604,0.7458300068974495,1.5373675525188446,,,,,,"Ricky Nolasco",3830,445060
"Zach Duke","CHW",60.2,1.1646236181259155,,,,,4.100028991699219,-0.8608775734901428,-1.9608081579208374,,,1.2463444471359253,,,"Zach Duke",3840,435043
"Brett Oberholtzer","HOU",38.1,-4.000114917755127,,,,,2.1731784343719482,0.30858680605888367,,-2.461127519607544,,-1.8130154609680176,,,"Brett Oberholtzer",3855,519085
"Rubby De La Rosa","ARI",188.2,3.152707576751709,,,,,-11.230327606201172,6.531975269317627,1.070096492767334,,,-12.605896949768066,,,"Rubby De La Rosa",3862,523989
"Enrique Burgos","ARI",27,-3.89414644241333,,,,,,2.7476861476898193,,,,,,,"Enrique Burgos",3895,542609
"Casey Fien","MIN",63.1,2.5792970657348633,,,,,-1.6060622930526733,5.270240306854248,0.04539614915847778,,,0.0372450090944767,,,"Casey Fien",3926,502272
"David Carpenter","- - -",24.2,0.11159378290176392,,,,,,-0.2107691764831543,,,,-1.1092897653579712,,,"David Carpenter",3959,502304
"Edward Mujica","- - -",47.1,0.18545947968959808,,,-2.078153967857361,,1.154837965965271,2.6320468187332153,,-0.06998168677091599,,,,,"Edward Mujica",3970,465629
