Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Bailey Ober","MIN",146.1,86.01038435703614,58.86982393669968,146.1026680714256,153.0794238710491,85.46654995620821,58.497596781494046,112.4386676442895,101.28141831033926,102.64293194012862,99.36121183261571,123.67800715777324,117.59371330605191,113.9926548564807,94.71143808013275,72.45238034604962,131.79101106729786,"Bailey Ober",21224,641927
"Konnor Pilkington","WSN",28.1,128.51780649897938,169.39757870730222,75.86756155200685,192.41131287458427,125.99978356903429,166.0785946412711,86.62392157136091,106.23135020974024,81.79444432979295,111.80655108395119,105.69488653102363,142.57746605854825,112.14142113061648,115.16825481536974,64.393142747066,131.573820495529,"Konnor Pilkington",21453,663455
"Connor Phillips","CIN",25,137.0856565742342,135.5180593167091,101.15674871071994,93.456920879686,148.84008048144804,147.13805804777004,53.624332401318654,71.0024902795635,56.087618969000886,107.3342890461745,65.2319509611627,87.92678733210653,93.36615046243524,96.89636832129185,72.99627512987588,131.573820495529,"Connor Phillips",27649,683175
"Zach Brzykcy","WSN",23,111.7546128205086,147.30224034220916,75.86756155200685,203.16722199939238,99.45223558613439,131.0866340578144,119.43601307566429,134.2202102488867,114.51222206171015,78.9034802977174,213.90631505775647,149.81870108214846,127.20273533667945,104.97106568139951,69.19438579772363,131.573820495529,"Zach Brzykcy",27783,694350
"Andre Granillo","STL",21,91.79844174743612,94.10977469724962,97.54400769346576,111.25825248129127,90.16274076283922,92.43288195731732,108.54081739062089,106.57724973967788,105.2773654438303,102.75802086582122,114.49904987577774,108.93012244122164,118.33677521110127,110.21961914182089,66.72315788602928,131.573820495529,"Andre Granillo",29542,701552
"Jacob Webb","TEX",66,92.17157338112843,79.99889885150925,115.2160513922728,113.13446550826795,96.54199048037235,83.79213522177761,82.82412671082652,80.36823880416418,76.35861699334886,112.50067705738343,74.27347261906465,102.28197612947329,109.1110163765572,85.62723601753933,77.13227151713332,131.3886186169583,"Jacob Webb",19274,657097
"Osvaldo Bido","ATH",79.2,89.52517815512346,122.08596106549669,73.32962483897688,178.0802694597548,83.25336640583382,113.53305886973781,120.09445879644372,125.3293484710011,109.74312089867881,99.46622893084236,139.48094354175745,143.90313563584598,131.5115619115243,94.92908542464338,73.60817363088152,130.45930449902252,"Osvaldo Bido",23150,674370
"Kirby Yates","LAD",41.1,134.736402431978,116.11930142869915,116.03274118156715,169.5790852976782,133.16170110713608,114.76217386862892,97.2550392187552,102.69469276065098,100.6319527208968,96.45247166436336,124.81823567458085,111.3565607323141,94.40386236633243,103.59761233111348,70.94965062013034,130.34415841023716,"Kirby Yates",9073,489446
"JP Sears","- - -",135.2,90.77982910424657,73.96909407035326,122.77124926565497,166.77245593979498,89.58110235542374,72.99981527179622,109.54744031214878,102.68800949479416,99.65010607561597,101.93534934591916,120.65302539343207,123.84227516866181,114.32026551497968,101.87724353299367,70.52125401327794,130.3310489471996,"JP Sears",23429,676664
"Yuki Matsui","SDP",63.1,103.15245214598208,147.10842674152278,70.120018991796,122.96963866180177,102.2249538470476,145.78568640055636,91.19004119582532,104.79773097724971,88.45554877820723,110.8630874915284,98.2471580692719,118.38950598374475,118.90948547537484,100.19965358206949,72.78889931792823,130.07866322914083,"Yuki Matsui",33826,673513
"Tyler Anderson","LAA",136.1,80.00998610872888,116.18421075192764,68.86476635157358,153.3538942966741,77.16245434918928,112.04924957455154,104.14559267224068,109.85469319658208,91.62264343572878,107.24516173214948,109.90127510706915,132.9795493612963,129.99548809947217,103.61315597571871,70.77336264280916,129.1101110543121,"Tyler Anderson",12880,542881
"Jacob Lopez","ATH",92.2,127.89919249643825,110.9564322776627,115.26974017520007,120.86666528104001,125.86502448554882,109.19173002764688,95.14317703447071,99.32941951803792,101.7768359924963,103.04409833420533,96.85318369888861,100.28955274718733,98.89439829818849,112.5934952243097,66.61272367431275,129.01518461946148,"Jacob Lopez",25098,682052
"Johan Oviedo","PIT",40.1,111.52369987915687,160.9976749455553,69.2703822668234,115.85567301527317,112.6150313250625,162.57312885122371,73.93657952303026,93.7600144406481,71.57013878856885,112.01170067774729,83.25974985184598,118.99812110492998,117.97204431328754,103.73611165925625,72.10171294803051,128.99394154876867,"Johan Oviedo",22487,670912
"John Brebbia","- - -",23.1,117.4408682116012,143.10554479399696,81.87220581655488,162.7576193928655,101.07354491348232,123.07937005117738,117.2202999256365,133.4735912935968,117.58543084328291,77.94151221666172,186.76395134649738,138.6968160396189,128.67249642853162,91.76827161842722,77.06697565240609,128.53815625449005,"John Brebbia",12777,605154
"Hunter Greene","CIN",107.2,131.30300165024812,68.17858142069385,192.58688698161697,108.50260312706968,143.2585774406026,74.38646195205378,78.3472388980305,72.39787245972906,84.13142845350133,115.71159935017556,62.48028552910113,75.7348665991526,79.37165419791766,91.78865260845295,78.1597714307094,128.5139641988156,"Hunter Greene",22182,668881
"Eric Lauer","TOR",104.2,102.21265978331881,69.03022145360508,148.0694347898826,107.0093433137606,106.41187348559014,71.86619796782651,94.02759539420056,86.45080432570825,93.01829882847042,111.54258076310495,78.13432600607904,90.71920909650477,99.40650924687947,104.64189380489823,70.98828254129185,128.367648127237,"Eric Lauer",19316,641778
"Joel Payamps","- - -",26.1,97.60846196293643,96.49229298429871,92.72701965781559,118.29990464610695,93.50210160715442,92.43288269678038,119.75794303004612,117.23031341692909,118.91653829485284,82.80073718323105,163.5703394468672,109.65941042660418,118.20353985747927,98.31436407569709,75.22177147764316,128.36470291283996,"Joel Payamps",14332,606303
"Carson Palmquist","COL",34.1,84.22282703502084,205.57956793973807,40.96848322897959,226.83717299136651,70.32693767650069,171.66106795471302,125.35558223684879,157.35038058362642,109.30712105890514,89.86972669684047,186.1987039044659,177.319592127609,157.5394920220889,99.04962068278927,75.02394942940765,128.20013275677854,"Carson Palmquist",31612,687223
"Simeon Woods Richardson","MIN",111.1,100.80254322288215,114.81719800249624,87.79394023322283,114.01514792324501,100.96303278449896,115.00000161687234,94.5920580521752,99.490723067553,92.38985305115057,103.96102168872847,97.92700225595232,108.31507442095351,112.92594227615379,89.5065877526296,78.56450217499703,127.93102351812722,"Simeon Woods Richardson",24494,680573
"Tyler Gilbert","CHW",51,100.77176795034379,130.77220312511056,77.05901138566666,73.20465937908119,101.28779947348441,131.44186222981543,88.0023115035669,97.88796567090189,90.35407101017351,96.56653541907772,94.52949918385768,93.42692337027772,115.89089657159397,85.16687445175175,80.61847610476985,127.93102345508878,"Tyler Gilbert",17964,656457
