Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Emmanuel Clase","CLE",0.3235294117647059,1.431818181,0.218978102,0.459854014,0.321167883,0.113636363,0.045454545,7,1.3309860585157431,237,509,746,0.34782609,0.39130435,0.26086957,0.15217391,0.56521739,0.2826087,"Emmanuel Clase",21032,661403
"Yennier Cano","BAL",0.3353658536585366,2.022222222,0.180722891,0.548192771,0.271084337,0.111111111,0.155555555,22,3.4137937770305062,365,623,988,0.39411765,0.41176471,0.19411765,0.15294118,0.56470588,0.28235294,"Yennier Cano",25911,666974
"Landen Roupp","SFG",0.3238095238095238,1.367924528,0.218068535,0.451713395,0.330218068,0.047169811,0.103773584,54,4.5562501086294676,686,1165,1851,0.43865031,0.34969325,0.21165644,0.15644172,0.56134969,0.28220859,"Landen Roupp",30076,694738
"Paul Blackburn","- - -",0.3360655737704918,1.244444444,0.2109375,0.4375,0.3515625,0.155555555,0.133333333,8,1.8461539364425432,243,423,666,0.3984375,0.3984375,0.203125,0.1875,0.53125,0.28125,"Paul Blackburn",14739,621112
"Nathan Eovaldi","TEX",0.24316109422492402,1.60576923,0.183734939,0.503012048,0.313253012,0.076923076,0.096153846,69,4.776923076923077,634,1286,1920,0.46745562,0.31952663,0.21301775,0.13609467,0.58284024,0.28106509,"Nathan Eovaldi",9132,543135
"Hunter Brown","HOU",0.26244343891402716,1.476510067,0.192560175,0.481400437,0.326039387,0.093959731,0.114093959,83,4.030575650182921,1132,1832,2964,0.38562092,0.35947712,0.25490196,0.19825708,0.52069717,0.28104575,"Hunter Brown",25880,686613
"Yu Darvish","SDP",0.2751322751322751,0.919540229,0.169154228,0.39800995,0.43283582,0.091954022,0.16091954,41,5.125,407,753,1160,0.50738916,0.25123153,0.24137931,0.1773399,0.54187192,0.28078818,"Yu Darvish",13074,506433
"Emerson Hancock","SEA",0.28888888888888886,1.232323232,0.221830985,0.429577464,0.348591549,0.131313131,0.151515151,59,5.900000375111921,501,922,1423,0.32982456,0.38596491,0.28421053,0.16140351,0.55789474,0.28070175,"Emerson Hancock",27470,676106
"Brent Suter","CIN",0.28019323671497587,1.148148148,0.183098591,0.436619718,0.38028169,0.049382716,0.135802469,50,6.650246930263024,405,732,1137,0.35779817,0.41284404,0.2293578,0.14678899,0.5733945,0.27981651,"Brent Suter",13942,608718
"Carlos Vargas","SEA",0.29957805907172996,2.044776119,0.163934426,0.561475409,0.274590163,0.044776119,0.149253731,35,4.090909901588717,376,725,1101,0.4048583,0.34412955,0.25101215,0.1659919,0.55465587,0.27935223,"Carlos Vargas",22915,672841
"Tyler Mahle","TEX",0.2601626016260163,0.950980392,0.204,0.388,0.408,0.078431372,0.049019607,35,3.634615491268906,480,901,1381,0.33466135,0.41832669,0.24701195,0.15537849,0.56573705,0.27888446,"Tyler Mahle",16358,641816
"Aaron Ashby","MIL",0.3128834355828221,2.729729729,0.153374233,0.619631901,0.226993865,0.027027027,0.081081081,47,6.3450009681703134,388,645,1033,0.36969697,0.43636364,0.19393939,0.19393939,0.52727273,0.27878788,"Aaron Ashby",23550,676879
"Rafael Montero","- - -",0.24183006535947713,1.357142857,0.159235668,0.484076433,0.356687898,0.089285714,0.089285714,11,1.6408842718538803,427,661,1088,0.43670886,0.32911392,0.23417722,0.16455696,0.55696203,0.27848101,"Rafael Montero",12760,606160
"Jared Koenig","MIL",0.3,1.142857142,0.137931034,0.459770114,0.40229885,0.085714285,0.085714285,41,5.590909737200851,368,675,1043,0.42613636,0.30113636,0.27272727,0.11931818,0.60227273,0.27840909,"Jared Koenig",27517,657649
