Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Jesse Biddle","- - -",28,7.9391714886921205,,,,,4.744011878967285,1.9528262240827576,-8.632106149433465,,,,,,"Jesse Biddle",11437,592145
"Matt Grace","WSN",46.2,,,4.133937233372738,,,4.543699871410023,1.5110576611729296,-1.487870454788208,,,3.8185437110162552,,,"Matt Grace",11449,594840
"A.J. Cole","CLE",26,10.09637338143808,,,,,,3.29572223646069,-0.4240563336540671,,,6.651398468017578,,,"A.J. Cole",11467,595918
"Robbie Ray","ARI",174.1,10.57978949320444,,,,,8.20480207056781,2.9072239652593086,-2.703989791870117,-2.161832616396761,,,,,"Robbie Ray",11486,592662
"Aaron Sanchez","- - -",131.1,8.12927507984766,,,,,6.1214968702876345,,-7.470520593169937,,,3.8513323551323055,,,"Aaron Sanchez",11490,592717
"Josh Osich","CHW",67.2,7.236838082286799,,3.920869265647226,,,5.303196319162029,-2.33434604613249,,,,8.10116943359375,,,"Josh Osich",11528,592612
"José Ureña","MIA",84.2,8.221083323160807,,,,,5.668734765964477,4.108546386271606,0.9721787396599265,,,5.372746171622441,,,"Jose Urena",11589,570632
"Heath Hembree","BOS",39.2,9.922227107196216,,,,,,4.027272454623518,-3.8148406982421874,,,,,,"Heath Hembree",11632,592390
"Jameson Taillon","PIT",37.1,7.632250811602618,,,,,6.3517947576742255,3.078785007282839,-6.221476236979167,,,4.833319091796875,,,"Jameson Taillon",11674,592791
"Carlos Martinez","STL",48.1,7.147126822636046,,5.43724865383572,,,2.165565584912712,1.5224967024444995,,,,-0.7163791524952856,,,"Carlos Martinez",11682,593372
"Tayron Guerrero","MIA",46,9.424735817402931,,,,,7.4302885167738975,1.0012091761050017,,,,,,,"Tayron Guerrero",11691,594027
"Nick Kingham","- - -",55.2,8.303501933739144,,5.391500786169251,,,4.7374807339962395,-0.319174390572768,,-5.825211804322522,,4.030763847883358,,,"Nick Kingham",11694,592468
"Sam Dyson","- - -",62.1,6.627640678769066,,4.209147663859578,,,1.978787056148519,-5.079638594287937,,,,0.9204498582416111,,,"Sam Dyson",11710,473879
"Matt Harvey","LAA",59.2,8.519086506242946,,,,,6.0860850016276045,3.4534609245531485,-3.4960349754050926,,,7.237421723985181,,,"Matt Harvey",11713,518774
"Luke Jackson","ATL",72.2,10.174373972039474,,,,,,-3.594753850945417,-7.4776933778007075,,,9.570491790771484,,,"Luke Jackson",11752,592426
"Kyle Ryan","CHC",61,6.14230302019817,,3.2209211526457797,,,2.7739360488463785,,-2.216916232638889,,,5.960034052530925,,,"Kyle Ryan",11753,594986
"Drew Smyly","- - -",114,,,6.249680389168943,,,11.12277858463798,,,-0.6048204967829959,,8.49734666046587,,,"Drew Smyly",11760,592767
"Noah Syndergaard","NYM",197.2,8.716096250689846,,,,,5.897834048063859,0.6180683541805186,-1.6145592386812073,,,5.128633957970925,,,"Noah Syndergaard",11762,592789
"Hansel Robles","LAA",72.2,9.36290779250497,,,,,6.868395850771949,2.6621797289167133,,,,3.5091352763138417,,,"Hansel Robles",11801,570663
"Héctor Neris","PHI",67.2,8.770168541217672,,,0.6175036787175808,,5.48882080078125,,,,,,,,"Hector Neris",11804,593576
"James Paxton","NYY",150.2,9.056737914121241,,3.0227227461965462,,,,,,-3.6832874821384194,,4.617443561553955,,,"James Paxton",11828,572020
"Chris Martin","- - -",55.2,8.90053810080901,,3.68817919921875,2.5417829456895884,,7.295912110960328,-0.6985157012939454,,,,2.6500000953674316,,,"Chris Martin",11847,455119
"Jason Adam","TOR",21.2,9.061727390367798,,,,,,,-5.837385231089369,,,3.415304764457371,,,"Jason Adam",11861,592094
"Michael Feliz","PIT",56.1,10.501067133435615,,,,,,2.337390235575234,,,,8.39482680100661,,,"Michael Feliz",11903,593140
"Taylor Cole","LAA",51.2,9.327901024382374,,10.223457670211792,,,,4.030735670918166,-1.2143720280040393,,,3.988836985620959,,,"Taylor Cole",11964,518566
"Matt Andriese","ARI",70.2,9.44353195011516,,,,,4.116486443413629,-0.9881365115825946,-6.502971841276978,,,0.5892440727473375,,,"Matt Andriese",12022,542882
"Brian Flynn","KCR",29.1,8.675501265615788,,,5.65432071685791,,6.062814496014569,0.8958722690366349,,,,5.953864370073591,,,"Brian Flynn",12027,543169
"Kyle Hendricks","CHC",177,8.257175611413043,,,,,5.662878853934152,,-6.650477420241208,,,6.2157439983443705,,,"Kyle Hendricks",12049,543294
"Felipe Vázquez","PIT",60,6.932241751565246,,,,,2.6112613677978516,3.3992053985595705,-3.4517016691320084,,,0.7315189807445972,,,"Felipe Vazquez",12076,553878
"Yimi García","LAD",62.1,7.369891912286932,,,,,4.092678917778863,2.116829438643022,-1.1747224789100672,,,1.9094505310058594,,,"Yimi Garcia",12095,554340
"Parker Markel","- - -",22,8.726408189342868,,,,,5.2949410045848175,-0.863242940006093,,,,5.920031229654948,,,"Parker Markel",12106,571917
"Cody Allen","LAA",23,11.082557447028883,,,,,,,,-3.8689085838553137,,,,,"Cody Allen",12183,592102
"Dan Winkler","ATL",21.2,8.611490124853972,,6.5394295302013425,,,1.7663850784301758,,-0.7402221171061197,,,,,,"Dan Winkler",12237,595465
"Aaron Brooks","- - -",110,8.701489708996407,,,,,5.808587657978754,1.6144581691759852,,-2.4876432343134804,,0.8734513451071346,,,"Aaron Brooks",12272,605156
"Evan Marshall","CHW",50.2,7.9072678786057695,,,,,4.417791958512931,,-4.539628502276304,,,1.0842710722477065,,,"Evan Marshall",12297,605359
"Chris Bassitt","OAK",144,8.10405945777893,,4.274816033334443,,,6.236767855557528,-2.0673410097757974,-8.028546527751441,,,5.584647301400062,,,"Chris Bassitt",12304,605135
"Jacob Barnes","- - -",32.2,9.515073950734424,,3.7510640551472267,,,,-0.539679229259491,,,,,,,"Jacob Barnes",12323,606930
"Seth Lugo","NYM",80,9.539618321286849,,,,,6.967153596372571,3.7261766838304924,-9.592593969888245,,,5.303539597844503,,,"Seth Lugo",12447,607625
"Drew Gagnon","NYM",23.2,7.716791835399943,,,,,,0.043641785780588783,-5.6852886493389425,,,5.256002263505329,,,"Drew Gagnon",12545,543193
"Blake Treinen","OAK",58.2,7.960588889898256,,4.981042672202225,,,3.7461426315474564,-0.9979155603116446,,,,,,,"Blake Treinen",12572,595014
"Nick Ramirez","DET",79.2,8.312102815998134,,5.1094240562938085,,,4.983986551447432,,,-4.882366536458333,,5.146586533133865,,,"Nick Ramirez",12575,598286
"DJ Johnson","COL",25,8.874366983916937,,5.501936912536621,,,,,-5.672867424743997,,,2.660569190979004,,,"DJ Johnson",12578,597113
"Adam Morgan","PHI",29.2,8.141814313616072,,,,,5.335246839021382,2.087477597323331,-4.908133854941716,,,5.384598752285572,,,"Adam Morgan",12580,605388
"Mike Wright Jr.","- - -",29.1,9.104158181041928,,,,,5.610441567241281,2.8117991377667684,-0.25567626953125,,,5.405947004045759,,,"Mike Wright Jr.",12586,605541
