Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Chris Archer","PIT",119.2,94.08471532791818,,,,,93.87689236111112,88.69584659852546,82.28571428571429,,,87.67430675642292,,,"Chris Archer",6345,502042
"Jake Odorizzi","MIN",159,92.8559167699938,,85.45165539717348,85.15765035377359,,,,75.38176579765194,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","MIN",64.1,95.54679883356546,,,,,96.6933349609375,83.87869822485207,78.88095238095238,,,87.5846187232906,,,"Trevor May",6398,543507
"José Cisnero","DET",35.1,96.43727509469697,,,,,95.901611328125,86.57360406091371,,,,90.59107317243304,,,"Jose Cisnero",6399,542585
"Steve Cishek","CHC",64,90.45767195767196,,,,,90.53789982601712,78.86350999436937,,,,83.88888888888889,,,"Steve Cishek",6483,518553
"Blaine Hardy","DET",44.1,88.17197117660984,,86.06803721005154,,,88.7923114483173,,76.52464051177536,,,79.24854621763754,,,"Blaine Hardy",6499,543278
"Brad Brach","- - -",54.1,94.05915810032894,,91.01898734177215,,,92.53386762065273,85.41087981703367,,,,86.58085080410572,,,"Brad Brach",6627,542960
"Carlos Carrasco","CLE",80,93.75047116858937,,,,,92.67272632153004,84.73709767425115,81.19047473725819,,,87.81434805181962,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","CHC",20.2,96.20198891932272,,,,,,,,85.93412853422619,,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","CHW",61,94.39288395240213,,90.3506006006006,,,,,,,,91.24642508370536,,,"Alex Colome",6661,517008
"Andrew Miller","STL",54.2,92.40983606557377,,,,,94.3,82.37708244906621,,,,84.19999694824219,,,"Andrew Miller",6785,453192
"Julio Teheran","ATL",174.2,89.73304100790514,,,,,89.28517328306685,82.20094462460692,74.76530612244898,,,83.60883377259036,,,"Julio Teheran",6797,527054
"Chase Anderson","MIL",139,93.34358756575651,,90.61976646040745,,,93.27588106043198,,77.80127108299126,,,82.65960353666405,,,"Chase Anderson",6895,502624
"Martín Pérez","MIN",165.1,94.18305603531766,,88.4941417685158,,,93.86753860762373,,79.2374046267444,,,85.3456924066311,,,"Martin Perez",6902,527048
"Joakim Soria","OAK",69,92.63014087945642,,,,,93.3076923076923,81.53333028157552,73.03915810751748,,,87.57692562005458,,,"Joakim Soria",6941,465657
"Luis García","LAA",62,97.12943561768635,,,86.69183567592076,,96.83179926963602,85.18547377772838,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","KCR",63.1,94.43369500341065,,91.3135593220339,,,,,,80.4898191897455,,87.94736842105263,,,"Ian Kennedy",6986,453178
"Ryan Pressly","HOU",54.1,95.5466912565331,,,,,,90.15922579130901,83.01166353798587,,,,,,"Ryan Pressly",7005,519151
"Daniel Hudson","- - -",73,96.15181662819602,,,,,95.55055186512706,86.68657347338781,,,,88.61917908550942,,,"Daniel Hudson",7146,543339
"Greg Holland","ARI",35.2,91.55957723847517,,,,,,84.30730919471154,77.45818536931819,,,83.80000305175781,,,"Greg Holland",7196,518813
"Craig Stammen","SDP",82,91.77499389648438,,87.52588634200508,,,92.77522346565316,,,81.34210526315789,,89.12221950954861,,,"Craig Stammen",7274,489334
"Dan Otero","CLE",29.2,88.557998046875,,,,,89.10521399456522,78.90689823545259,,,,82.22564227764423,,,"Dan Otero",7385,519096
"Javy Guerra","- - -",67.2,92.73726476513365,,,,,,85.16096581668215,78.95974216213475,,,83.56063907704454,,,"Javy Guerra",7407,457915
"J.A. Happ","NYY",161.1,91.96227109944162,,,,,89.60764320843286,84.76702127659574,80.95454961603338,,,86.04251968526394,,,"J.A. Happ",7410,457918
"Jay Jackson","MIL",30.1,94.36621973536036,,,,,,85.90816326530613,,,,87.23750305175781,,,"Jay Jackson",7432,543351
